state,date,ch1,ch_type,geo,event
http://time-space-event.com/resource/State/Texas,"""1896-05-04""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Texas_3,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Texas_3/Geometry/168,http://time-space-event.com/resource/event/state/id/142
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1786-09-14""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._2/Geometry/171,http://time-space-event.com/resource/event/state/id/145
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1790-04-02""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._3,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._3/Geometry/172,http://time-space-event.com/resource/event/state/id/107
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1802-04-24""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._4,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._4/Geometry/173,http://time-space-event.com/resource/event/state/id/146
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1816-12-11""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._5,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._5/Geometry/174,http://time-space-event.com/resource/event/state/id/83
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1821-08-10""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._6,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._6/Geometry/175,http://time-space-event.com/resource/event/state/id/147
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1824-05-26""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._7,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._7/Geometry/176,http://time-space-event.com/resource/event/state/id/148
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1834-06-28""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._8,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._8/Geometry/177,http://time-space-event.com/resource/event/state/id/149
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1837-03-28""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._9,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._9/Geometry/178,http://time-space-event.com/resource/event/state/id/90
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1846-12-28""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._10,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._10/Geometry/179,http://time-space-event.com/resource/event/state/id/150
http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr.,"""1849-03-03""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Unorg._Fed._Terr._11,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Unorganized_Territory/Unorg._Fed._Terr._11/Geometry/180,http://time-space-event.com/resource/event/state/id/151
